QS_MESSAGE,,,ENG,JPN,DEU,FRA,CHN,CHN Trad,KOR,ESP,RUS,PORT,TURKISH,POLISH,ITAL,ESP EU,NHL,THAI
0,IDS_MSG_ERR01,01,It may be possible to select a model if the pressure conditions are changed.,圧力の条件を変更すれば選定出来る可能性が有ります｡,"Ein Modell ist eventuell verfügbar, wenn der Druck geändert wird.",Il est possible de sélectionner un modèle si les conditions de pression sont modifiées,更改压力参数才可选型。,更改壓力參數才可選型。,압력조건을 변경하는 것으로 선정이 가능할 수 있습니다.,Puede ser posible seleccionar un modelo sí las condiciones de presión son cambiadas.,"Можно выбрать модель, если условия по давлению изменены.",Pode ser possível selecionar o modelo se as condições da pressão forem alteradas.,"Eğer basınç koşulları değişirse , bir model seçimi yapılabilecektir.",Wybór modelu może okazać się możliwy w przypadku zmiany parametrów ciśnienia.,Potrebbe essere possibile selezionare un modello se le condizioni di pressione vengono cambiate,Puede ser posible seleccionar un modelo si cambian las condiciones de presión.,Er kan mogelijk een model worden geselecteerd als de drukomstandigheden zijn veranderd.,สามารถเลือกแบบได้ถ้าสภาพความดันเปลี่ยน
0,IDS_MSG_ERR02,02,It may be possible to select a model if the temperature conditions are changed.,温度の条件を変更すれば選定出来る可能性が有ります｡,"Ein Modell ist eventuell verfügbar, wenn die Temperatur geändert wird.",Il est possible de sélectionner un modèle si les conditions de température sont modifiées,更改温度参数才可选型。,更改溫度參數才可選型。,온도조건을 변경하는 것으로 선정이 가능할 수 있습니다.,Puede ser posible seleccionar un modelo sí las condiciones de temperatura son cambiadas.,"Можно выбрать модель, если условия по температуре изменены.",Pode ser possível selecionar o modelo se as condições de temperatura forem alteradas,"Eğer sıcaklık koşulları değişirse , bir model seçimi yapılabilecektir.",Wybór modelu może okazać się możliwy w przypadku zmiany parametrów temperatury.,Potrebbe essere possibile selezionare un modello se le condizioni di temperatura vengono cambiate,Puede ser posible seleccionar un modelo si cambian las condiciones de temperatura.,Er kan mogelijk een model worden geselecteerd als de temperatuuromstandigheden zijn veranderd.,สามารถเลือกแบบได้ถ้าสภาพอุณหภูมิเปลี่ยน
0,IDS_MSG_ERR03,03,It may be possible to select a model if the condensate load (flow rate) is changed.,流量の条件を変更すれば選定出来る可能性が有ります｡,"Ein Modell ist eventuell verfügbar, wenn die Kondensatmenge geändert wird.",Il est possible de sélectionner un modèle si le débit de condensât est modifié,更改冷凝水负荷（流量）参数才可选型。,更改冷凝水負荷（流量）參數才可選型。,유량조건을 변경하는 것으로 선정이 가능할 수 있습니다.,Puede ser posible seleccionar un modelo sí la carga de condensado (rango de flujo) es cambiado.,"Можно выбрать модель, если условия по расходу изменены.",Pode ser possível selecionar o modelo se a carga de condensado (Vazão) for alterada.,"Eğer kondens yükü (akış debisi) değişirse , bir model seçimi yapılabilecektir.",Wybór modelu może okazać się możliwy w przypadku zmiany ilości kondensatu.,Potrebbe essere possibile selezionare un modello se la condizione di carico condensa (portata) è cambiata,Puede ser posible seleccionar un modelo si cambia la carga de condensado (caudal).,Er kan mogelijk een model worden geselecteerd als de condensaatbelasting (debiet) is veranderd.,สามารถเลือกแบบได้ถ้าปริมาณการควบแน่น (อัตราการไหล) เปลี่ยน
0,IDS_MSG_ERR04,04,Selection is not possible under these conditions.,この条件では選定出来ません｡,Für diese Betriebsbedingungen ist keine Auswahl möglich.,La sélection n'est pas possible sous ces conditions ,给定参数无法选型。,給定參數無法選型。,현재의 조건으로는 선정이 불가능 합니다.,La selección no es posible bajo estas condiciones.,Для данных условий выбор невозможен.,A seleção não é possível sob estas condições.,Bu şartlar altında seçim yapmak mümkün değildir.,Dobór jest niemożliwy dla tych warunków.,La selezione non è possibile con queste condizioni,La selección no es posible en estas condiciones.,Selectie is niet mogelijk onder deze omstandigheden.,ไม่สามารถเลือกภายใต้สภาพเหล่านี้
0,IDS_MSG_ERR05,05,Socket weld connection is not available for cast iron.,鋳鉄ではｿｹｯﾄ型の接続はありません｡,Für Grauguss ist kein Schweissmuffenanschluss verfügbar.,La connexion Socket Weld n'existe pas pour les versions en fonte,承插焊连接方式不适用于铸铁材质。,承插焊連接方式不適用於鑄鐵材質。,주철의 경우는 소켓용접의 사양이 없습니다.,La conexión soldable (SW) no esta disponible para fundición de hierro.,Для модели из чугуна приварное присоединение недоступно.,Conexão de soquete para solda não está disponível para ferro fundido.,Dökme demir için soket kaynaklı bağlantı mevcut değildir.,Przyłącze spawane jest niedostępne dla żeliwa.,Connessioni a saldare non sono disponibili per ghisa,La conexión de soldadura por encastre no está disponible para fundición de hierro.,Een gelaste busverbinding is niet beschikbaar voor gietijzer.,ไม่สามารถเชื่อมข้อต่อกับเหล็กหล่อได้
0,IDS_MSG_ERR06,06,It may be possible to select a model if the connection type is changed.,接続を変更すれば選定出来る可能性が有ります｡,"Ein Modell ist eventuell verfügbar, wenn die Anschlussart wird.",Il est possible de sélectionner un modèle si le type de connexion est modifié,更改连接方式才可选型。,更改連接方式才可選型。,접속사양을 변경하는 것으로 선정이 가능할 수 있습니다.,Puede ser posible seleccionar un modelo sí el tipo de conexión es cambiada.,"Можно выбрать модель, если условия по типу присоединения изменены.",Pode ser possível selecionar o modelo se o tipo de conexão for alterada.,"Eğer bağlantı tipi değişirse , bir model seçimi yapılabilecektir.",Wybór modelu może okazać się możliwy w przypadku zmiany rodzaju przyłącza.,Potrebbe essere possibile selezionare un modello se il tipo di connessione viene cambiato,Puede ser posible seleccionar un modelo si cambia el tipo de conexión.,Er kan mogelijk een model worden geselecteerd als het verbindingstype is veranderd.,สามารถเลือกแบบได้ถ้าประเภทการเชื่อมต่อเปลี่ยน
0,IDS_MSG_ERR07,07,It may be possible to select a model if the body material is changed.,材質を変更すれば選定出来る可能性が有ります｡,"Ein Modell ist eventuell verfügbar, wenn ein anderes Gehäusematerial gewählt wird.",Il est possible de sélectionner un modèle si la matière du corps est modifiée,更改阀体材质方才可选型。,更改閥體材質方才可選型。,재질을 변경하는 것으로 선정이 가능할 수 있습니다.,Puede ser posible seleccionar un modelo sí el material del cuerpo es cambiado.,"Можно выбрать модель, если условия по материалу исполнения изменены.",Pode ser possível selecionar o modelo se o material do corpo for alterado.,"Eğer gövde malzemesi değişirse , bir model seçimi yapılabilecektir.",Wybór modelu może okazać się możliwy w przypadku zmiany materiały korpusu.,Potrebbe essere possibile selezionare un modello se il materiale del corpo viene cambiato,Puede ser posible seleccionar un modelo si cambia el material del cuerpo.,Er kan mogelijk een model worden geselecteerd als het materiaal van de behuizing is veranderd.,สามารถเลือกแบบได้ถ้าวัสดุตัวเครื่องเปลี่ยน
0,IDS_MSG_ERR08,08,Product temperature to be maintained must be higher than the ambient temperature.,製品保持温度は外気温度より高くして下さい｡,Die Produkttemperatur muss grösser als die Umgebungstemperatur sein.,La température de maintien du produit doit être supérieure à la température ambiante,产品温度应高于环境温度。,產品溫度應高於環境溫度。,제품의 온도는 외기의 온도보다 높게 지정해 주십시오.,La temperatura del producto debe ser mayor que la temperatura ambiente.,"Температура продукта должна быть выше, чем температура окружающей среды.","A temperatura do produto a ser mantida, deve ser maior que a temperatura ambiente.","Muhafaza edilen ürün sıcaklığı , ortam sıcaklığından daha yüksek olmalıdır.",Utrzymywana temperatura produktu musi być wyższa od temperatury zewnętrznej.,La temperatura del prodotto da mantenere deve essere necessariamente maggiore della temperatura ambiente,La temperatura del producto debe ser mayor que la temperatura ambiente.,De gehandhaafde producttemperatuur moet hoger zijn dan de omgevingstemperatuur.,การคงอุณหภูมิสินค้าจะต้องสูงกว่าอุณหภูมิโดยรอบ
0,IDS_MSG_ERR09,09,Product temperature to be maintained must be lower than the steam temperature.,製品保持温度は蒸気温度より低くして下さい｡,Die Produkttemperatur muss kleiner als die Dampftemperatur sein.,La température de maintien du produit doit être inférieure à la température de la vapeur,产品温度应低于蒸汽温度。,產品溫度應低於蒸汽溫度。,제품의 온도는 증기의 온도보다 낮게 지정해 주십시오.,La temperatura del producto debe ser menor que la temperatura del vapor.,"Температура продукта должна быть ниже, чем температура пара.","A temperatura do produto a ser mantida, deve ser menor que a temperatura do vapor.","Muhafaza edilen ürün sıcaklığı , buhar sıcaklığından daha düşük olmalıdır.",Utrzymywana temperatura produktu musi być niższa od temperatury pary.,La temperatura del prodotto da mantenere deve essere inferiore alla temperatura del vapore,La temperatura del producto debe ser menor que la temperatura del vapor.,De gehandhaafde producttemperatuur moet lager zijn dan de stoomtemperatuur.,การคงอุณหภูมิสินค้าจะต้องต่ำกว่าอุณหภูมิไอน้ำ
0,IDS_MSG_ERR10,10,A lower supply steam pressure is required to maintain the product temperature under the conditions specified.,供給熱量が多過ぎます｡蒸気圧力を下げる等して下さい｡,"Ein niedrigerer Dampfdruck wird benötigt, um die Produkttemperatur unter dem spezifizierten Wert zu halten. ",Une pression vapeur inférieure est nécessaire afin de maintenir la température du produit suivant les conditions spécifiées.,在给定条件下，维持产品温度的供汽压力应更低。,在給定條件下，維持產品溫度的供汽壓力應更低。,공급열량이 너무 많습니다. 증기의 압력을 낮추어 주십시오.,Se requiere una menor presión de suministro de vapor para mantener la temperatura del producto bajo las condiciones especificadas.,"Для обеспечения требуемой температуры при обозначенных условиях, требуется более низкое давление пара.",Uma pressão menor do vapor de suprimento é requerida para manter a temperatura do produto nas condições específicadas.,Belirlenmiş koşullar altında ürün sıcaklığını muhafaza etmek için daha düşük bir buhar basıncı sağlamak gereklidir.,Dla utrzymania temperatury produktu wymagane jest niższe ciśnienie pary dla podanych warunków.,Una minore pressione del vapore è necessaria per mantenere la temperatura del prodotto sotto le condizioni specificate.,Se requiere una menor presión de vapor suministro para mantener la temperatura del producto en las condiciones especificadas.,Er is een lagere stoomtoevoerdruk vereist om de producttemperatuur onder de opgegeven omstandigheden te houden.,ต้องใช้ความดันไอน้ำที่ต่ำกว่าเพื่อคงอุณหภูมิสินค้าภายใต้เงื่อนไขที่ระบุไว้
