QS_LABEL,,,ENG,JPN,DEU,FRA,CHN,CHN Trad,KOR,ESP,RUS,PORT,TURKISH,POLISH,ITAL,ESP EU,NHL,THAI
,78,InsType,Rockwool,ﾛｯｸｳｰﾙ,Steinwolle,Laine de roche,岩棉,岩棉,록 울,Rockwool,Минеральная вата Rockwool,Lã de rocha,Taşyünü,Wełna skalna Rockwool,Lana di roccia,Lana de roca,Rotswol,ใยหิน
,78,InsType,Glasswool,ｸﾞﾗｽｳｰﾙ,Glaswolle,Laine de verre,玻璃棉,玻璃棉,글라스 울,Fibra de Vidrio,Стекловата,Lã de vidro,Camyünü,Wełna szklana,Lana di vetro,Fibra de vidrio,Glaswol,ใยแก้ว
,78,InsType,Calcium silicate,珪酸ｶﾙｼｳﾑ,Kalziumsilikat,Silicate de calcium,硅酸钙,矽酸鈣,규산 칼슘,Silicato de Calcio,Силикат кальция,Silicato de cálcio,Kalsiyum Silikat,Krzemian wapnia,Silicato di calcio,Silicato de calcio,Calciumsilicaat,แคลเซียมซิลิเกต
,78,InsType,Pearlite,ﾊﾟｰﾗｲﾄ,Perlit,Perlite,珠光体,珠光體,펄 라이트,Perlita,Перлит,Perlita,Perlit,Perlit,Perlite,Perlita,Perliet,เพิร์ลไลท์
,106,LiquidName,Water (fresh),水,Wasser,eau,淡水,淡水,물,Agua (dulce),Вода,Água (pura),Su (temiz),Woda (świeża),Acua (dolce),Agua (dulce),Water (zoet),น้ำ (จืด)
,106,LiquidName,Water (sea),海水,Meerwasser,eau de mer,海水,海水,해수,Agua (mar),Морская вода,Água (mar),Su (deniz),Woda (morska),Acqua (salata),Agua (mar),Water (zout),น้ำ (ทะเล)
,106,LiquidName,Kerosene,灯油,Kerosin,kérosène,煤油,煤油,등유,Queroseno,Керосин,Querosene,Parafin,Nafta,Cherosene,Queroseno,Kerosine,น้ำมันก๊าด
,106,LiquidName,Ethanol,エタノール,Ethanol,éthanol,乙醇,乙醇,에탄올,Etanol,Этанол,Etanol,Etanol,Etanol,Etanolo,Etanol,Ethanol,เอทานอล
,106,LiquidName,Glycerin,グリセリン,Glyzerin,glycérine,甘油,甘油,글리세린,Glicerina,Глицерин,Glicerina,Gliserin,Gliceryna,Glicerina,Glicerina,Glycerine,กลีเซอรีน
,1,UnitGroup,SI,SI,SI,SI,SI制,SI制,SI,Sistema Internacional,СИ,SI,SI,SI,SI,Sistema Internacional,SI,SI
,1,UnitGroup,SI (bar),SI (bar),SI (bar),SI (bar),SI (bar),SI (bar),SI (bar),Sistema Internacional (bar),СИ (бар),SI(bar),SI(bar),SI (bar),SI (bar),Sistema Internacional (bar),SI (bar),SI (บาร์)
,1,UnitGroup,Imperial,Imperial,Imperial,Impérial,英制,英制,Imperial,Ingles,Британская система,Imperial ,Imperial,Imperialne,Imperiale,Inglés,Imperial,อิมพีเรียล
,1,UnitGroup,MKS,MKS,MKS,MKS,MKS,MKS,MKS,MKS,МКС,MKS,MKS,MKS,MKS,MKS,MKS,MKS
,2,STC_IN,Input,入力,Eingabe,Donnée,输入,輸入,입력,Entrar,Вход,Entrada ,Giriş,Wejście,Input,Entrar,Invoer,การป้อนเข้า
,3,STC_OUT,Answer,計算結果,Ergebnis,Résultat,计算结果,計算結果,계산결과,Respuesta,Результат,Resposta,Cevap,Odpowiedź,Risposta,Respuesta,Antwoord,คำตอบ
,4,STC_UNIT,Unit-System,単位,Einheiten-System,Système d'unité,单位,單位,단위,Unidad-Sistema,Комплектная система,Sistema de unidade,Birim-Sistem,Układ jednostek,Sistema,Unidad-Sistema,Eenheidsysteem,ระบบหน่วยวัด
,5,HeaderTitle,ENGINEERING CALCULATIONS,技術計算,TECHNISCHE BERECHNUNGEN,Calculs d'engineering,技术计算,技術計算,기술계산,CALCULOS DE INGENIERIA,ИНЖЕНЕРНЫЙ КАЛЬКУЛЯТОР,Cálculos de engenharia,MÜHENDİSLİK HESAPLAMALARI,Obliczenia inżynierskie,CALCOLI INGEGNERISTICI,CÁLCULOS DE INGENIERÍA,TECHNISCHE BEREKENINGEN,การคำนวณทางวิศวกรรม
,6,FuncGroup,"Steam1,Condensate recovery,Liquid,Air","蒸気,ﾄﾞﾚﾝ回収,液体,空気","Dampf, Kondensatrückführung, Flüssigkeit, Luft","Vapeur,Récupération de condensât,Liquide,Air",蒸汽，冷凝水回收，流体，空气,蒸汽，冷凝水回收，流體，空氣,"증기응축수회수, 액체, 공기","Vapor1,Recuperación de Condensado,Liquido,Aire"," Пар, Возврат Конденсата, Жидкость, Воздух","Vapor 1, recuperação de condensado, líquido,ar","Buhar , Kondens Geri Dönüşümü , Sıvı , Hava","Para1,Odzysk kondensatu,Ciecz,Powietrze","Vapore, recupero condensa, Liquido, Aria","Vapor1,Recuperación de Condensado,Líquido,Aire","Stoom 1, terugwinning condensaat, vloeistof, lucht",ไอน้ำ 1 การกลับคืนของการควบแน่น ของเหลว อากาศ
,7,UnitGmk,,,,,,,,,,,,,,,,
,8,ValueSign_,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
